C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;Charpy
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-70;13
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-60;38
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-50;69
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-40;98
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-30;127
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-20;149
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;-10;166
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;0;179
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;10;187
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;20;191
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;30;192
0.07;1.4;0.32;0.009;0.007;37;2;69;159;450;0.03;0.03;0.005;5;0.03;5;40;192
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-120;2
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-110;2
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-100;2
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-90;2
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-80;5
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-70;16
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-60;29
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-50;61
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-40;107
0.069;1.37;0.38;0.008;0.007;33;2;140;141;449;0.03;0.03;0.005;5;0.03;5;-30;142
