C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);-120;-110;-100;-90;-80;-70;-60;-50;-40;-30;-20;-10;0;10;20;30;40
0.071;1.44;0.52;0.005;0.005;460;2;300;67;466;0.03;0.03;0.005;5;0.03;5;13;14;14;15;16;18;42;93;126;139;150;160;170;178;187;198;206
0.069;1.41;0.54;0.005;0.005;460;2;420;58;439;0.03;0.03;0.005;5;0.03;5;2;2;2;3;6;15;35;70;111;143;158;170;181;191;202;206;210
0.067;1.4;0.57;0.005;0.005;450;2;500;60;451;0.03;0.03;0.005;5;0.03;5;6;6;6;10;22;38;59;84;110;133;155;168;174;176;176;176;176
0.07;1.59;0.33;0.006;0.007;5;2;5;93;448;0.03;0.03;0.005;5;0.03;5;6;6;6;7;8;11;17;21;29;69;109;122;130;135;142;144;146
0.073;1.51;0.3;0.007;0.007;5;1;5;94;449;0.03;0.03;0.005;5;0.03;5;3;4;6;6;7;9;14;24;43;68;90;110;133;155;178;182;182
0.067;1.53;0.27;0.008;0.007;2;16;5;86;456;0.03;0.03;0.005;5;0.03;5;1;2;2;3;5;6;13;26;38;54;74;103;126;142;153;162;166
0.071;1.58;0.29;0.007;0.006;2;28;5;84;452;0.03;0.03;0.005;5;0.03;5;2;3;4;5;6;8;19;36;51;70;88;108;126;144;158;171;178
0.066;1.48;0.33;0.008;0.007;5;64;5;74;511;0.03;0.03;0.005;5;0.03;5;4;5;6;6;10;18;34;52;70;87;102;117;130;142;155;166;176
0.066;1.48;0.37;0.008;0.008;5;109;5;63;493;0.03;0.03;0.005;5;0.03;5;2;2;3;8;21;40;58;77;96;112;130;148;165;178;187;196;202
0.068;1.53;0.39;0.008;0.007;5;146;5;83;489;0.03;0.03;0.005;5;0.03;5;2;6;16;32;51;70;86;100;118;137;149;154;156;156;156;156;156
0.064;1.49;0.4;0.007;0.005;5;195;5;85;503;0.03;0.03;0.005;5;0.03;5;3;6;10;16;24;34;51;70;88;107;125;141;155;169;175;179;181
0.074;1.58;0.28;0.008;0.008;5;5;5;145;402;0.03;0.03;0.005;5;0.03;5;1;1;2;2;2;3;4;10;15;22;32;50;81;116;140;163;169
0.07;1.55;0.39;0.007;0.007;7;160;5;144;396;0.03;0.03;0.005;5;0.03;5;3;5;6;8;10;13;20;30;46;66;93;118;139;147;150;152;152
0.073;1.51;0.3;0.007;0.007;5;1;5;94;419;0.03;0.03;0.005;5;0.03;5;3;4;6;6;7;9;14;24;43;68;90;110;133;155;178;182;182
0.067;1.53;0.27;0.008;0.007;2;16;5;86;419;0.03;0.03;0.005;5;0.03;5;1;2;2;3;5;6;13;26;38;54;74;103;126;142;153;162;166
0.071;1.58;0.29;0.007;0.006;2;28;5;84;406;0.03;0.03;0.005;5;0.03;5;2;3;4;5;6;8;19;36;51;70;88;108;126;144;158;171;178
0.066;1.48;0.33;0.008;0.007;5;64;5;74;523;0.03;0.03;0.005;5;0.03;5;4;5;6;6;10;18;34;52;70;87;102;117;130;142;155;166;176
0.066;1.48;0.37;0.008;0.008;5;109;5;63;493;0.03;0.03;0.005;5;0.03;5;2;2;3;8;21;40;58;77;96;112;130;148;165;178;187;196;202
0.068;1.53;0.39;0.008;0.007;5;146;5;83;489;0.03;0.03;0.005;5;0.03;5;2;6;16;32;51;70;86;100;118;137;149;154;156;156;156;156;156
0.064;1.49;0.4;0.007;0.005;5;195;5;85;503;0.03;0.03;0.005;5;0.03;5;3;6;10;16;24;34;51;70;88;107;125;141;155;169;175;179;181
0.074;1.46;0.28;0.008;0.008;35;3;5;79;443;0.03;0.03;0.005;5;0.03;5;3;5;10;24;56;91;122;146;162;174;184;191;196;200;202;202;202
0.068;1.51;0.34;0.007;0.008;33;33;5;70;470;0.03;0.03;0.005;5;0.03;5;7;10;18;36;57;78;99;119;137;154;165;186;192;194;194;194;194
0.065;1.48;0.35;0.007;0.007;34;70;5;74;466;0.03;0.03;0.005;5;0.03;5;5;8;14;22;33;50;75;116;142;159;170;176;179;181;181;181;181
0.064;1.43;0.36;0.007;0.007;36;112;5;71;447;0.03;0.03;0.005;5;0.03;5;4;8;16;35;58;86;114;135;153;164;174;182;187;187;187;187;187
0.067;1.45;0.31;0.008;0.008;38;140;5;75;449;0.03;0.03;0.005;5;0.03;5;3;8;14;26;42;69;101;131;155;167;173;174;177;178;178;178;178
0.066;1.44;0.39;0.007;0.009;45;192;5;71;435;0.03;0.03;0.005;5;0.03;5;3;5;7;10;19;53;76;100;121;137;150;159;165;169;171;171;171
0.074;1.45;0.3;0.007;0.009;120;2;5;84;337;0.03;0.03;0.005;5;0.03;5;7;10;13;15;18;20;23;60;115;150;161;171;182;193;203;210;214
0.071;1.55;0.35;0.007;0.01;130;38;5;68;399;0.03;0.03;0.005;5;0.03;5;2;3;4;8;22;46;86;132;159;179;198;211;219;221;221;221;221
0.071;1.53;0.34;0.007;0.01;110;71;5;69;392;0.03;0.03;0.005;5;0.03;5;2;3;5;11;27;53;88;122;147;165;179;188;194;194;194;194;194
0.068;1.45;0.34;0.008;0.009;130;112;5;84;339;0.03;0.03;0.005;5;0.03;5;4;4;4;15;50;84;115;142;168;182;190;192;192;192;192;192;192
0.066;1.43;0.33;0.008;0.009;120;148;5;75;351;0.03;0.03;0.005;5;0.03;5;3;3;3;12;35;62;100;130;150;162;172;179;182;182;182;182;182
0.067;1.41;0.36;0.009;0.009;120;195;5;80;367;0.03;0.03;0.005;5;0.03;5;2;3;6;6;8;10;15;41;100;134;150;160;167;173;179;186;189
0.072;1.5;0.38;0.006;0.01;260;2;5;77;291;0.03;0.03;0.005;5;0.03;5;2;2;3;4;10;31;83;125;163;181;191;200;209;214;220;225;226
0.07;1.48;0.43;0.007;0.01;260;21;5;70;314;0.03;0.03;0.005;5;0.03;5;2;2;9;39;70;107;139;177;194;221;232;234;234;234;234;234;234
