Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Temp;Charpy
39;2;20;66;427;-20;173
39;2;20;66;427;-10;181
39;2;20;66;427;0;187
39;2;20;66;427;10;194
39;2;20;66;427;20;201
39;2;20;66;427;30;203
39;2;20;66;427;40;206
36;2;190;53;422;-120;6
36;2;190;53;422;-110;8
36;2;190;53;422;-100;16
36;2;190;53;422;-90;22
36;2;190;53;422;-80;34
36;2;190;53;422;-70;43
36;2;190;53;422;-60;91
36;2;190;53;422;-50;139
36;2;190;53;422;-40;168
36;2;190;53;422;-30;181
36;2;190;53;422;-20;189
36;2;190;53;422;-10;195
36;2;190;53;422;0;201
36;2;190;53;422;10;205
36;2;190;53;422;20;206
36;2;190;53;422;30;208
36;2;190;53;422;40;208
34;2;5;75;400;-120;8
34;2;5;75;400;-110;11
34;2;5;75;400;-100;16
34;2;5;75;400;-90;38
34;2;5;75;400;-80;68
34;2;5;75;400;-70;97
34;2;5;75;400;-60;123
34;2;5;75;400;-50;145
34;2;5;75;400;-40;160
34;2;5;75;400;-30;174
34;2;5;75;400;-20;184
34;2;5;75;400;-10;190
34;2;5;75;400;0;195
34;2;5;75;400;10;195
34;2;5;75;400;20;195
34;2;5;75;400;30;195
34;2;5;75;400;40;195
53;2;69;67;406;-120;3
53;2;69;67;406;-110;3
53;2;69;67;406;-100;3
53;2;69;67;406;-90;11
53;2;69;67;406;-80;26
53;2;69;67;406;-70;57
53;2;69;67;406;-60;98
53;2;69;67;406;-50;144
53;2;69;67;406;-40;166
53;2;69;67;406;-30;178
53;2;69;67;406;-20;190
53;2;69;67;406;-10;201
53;2;69;67;406;0;211
53;2;69;67;406;10;211
53;2;69;67;406;20;211
53;2;69;67;406;30;211
53;2;69;67;406;40;211
33;2;4;65;324;-120;3
33;2;4;65;324;-110;6
33;2;4;65;324;-100;12
33;2;4;65;324;-90;42
33;2;4;65;324;-80;84
33;2;4;65;324;-70;125
33;2;4;65;324;-60;151
33;2;4;65;324;-50;171
33;2;4;65;324;-40;184
33;2;4;65;324;-30;190
33;2;4;65;324;-20;192
33;2;4;65;324;-10;192
33;2;4;65;324;0;192
33;2;4;65;324;10;192
33;2;4;65;324;20;192
33;2;4;65;324;30;192
33;2;4;65;324;40;192
460;2;67;94;373;-120;14
460;2;67;94;373;-110;16
460;2;67;94;373;-100;18
460;2;67;94;373;-90;19
460;2;67;94;373;-80;22
460;2;67;94;373;-70;26
460;2;67;94;373;-60;50
460;2;67;94;373;-50;88
460;2;67;94;373;-40;144
460;2;67;94;373;-30;175
460;2;67;94;373;-20;197
460;2;67;94;373;-10;211
460;2;67;94;373;0;218
460;2;67;94;373;10;221
460;2;67;94;373;20;221
460;2;67;94;373;30;221
460;2;67;94;373;40;221
420;2;150;65;446;-120;7
420;2;150;65;446;-110;7
420;2;150;65;446;-100;7
420;2;150;65;446;-90;11
420;2;150;65;446;-80;19
420;2;150;65;446;-70;36
420;2;150;65;446;-60;78
420;2;150;65;446;-50;130
420;2;150;65;446;-40;170
420;2;150;65;446;-30;186
420;2;150;65;446;-20;195
420;2;150;65;446;-10;202
420;2;150;65;446;0;208
420;2;150;65;446;10;214
420;2;150;65;446;20;221
420;2;150;65;446;30;224
420;2;150;65;446;40;226
460;2;300;67;466;-120;13
460;2;300;67;466;-110;14
460;2;300;67;466;-100;14
460;2;300;67;466;-90;15
460;2;300;67;466;-80;16
460;2;300;67;466;-70;18
460;2;300;67;466;-60;42
460;2;300;67;466;-50;93
460;2;300;67;466;-40;126
460;2;300;67;466;-30;139
460;2;300;67;466;-20;150
460;2;300;67;466;-10;160
460;2;300;67;466;0;170
460;2;300;67;466;10;178
460;2;300;67;466;20;187
460;2;300;67;466;30;198
460;2;300;67;466;40;206
460;2;420;58;439;-120;2
460;2;420;58;439;-110;2
460;2;420;58;439;-100;2
460;2;420;58;439;-90;3
460;2;420;58;439;-80;6
460;2;420;58;439;-70;15
460;2;420;58;439;-60;35
460;2;420;58;439;-50;70
460;2;420;58;439;-40;111
460;2;420;58;439;-30;143
460;2;420;58;439;-20;158
460;2;420;58;439;-10;170
460;2;420;58;439;0;181
460;2;420;58;439;10;191
460;2;420;58;439;20;202
460;2;420;58;439;30;206
460;2;420;58;439;40;210
450;2;500;60;451;-120;6
450;2;500;60;451;-110;6
450;2;500;60;451;-100;6
450;2;500;60;451;-90;10
450;2;500;60;451;-80;22
450;2;500;60;451;-70;38
450;2;500;60;451;-60;59
450;2;500;60;451;-50;84
450;2;500;60;451;-40;110
450;2;500;60;451;-30;133
450;2;500;60;451;-20;155
450;2;500;60;451;-10;168
450;2;500;60;451;0;174
450;2;500;60;451;10;176
450;2;500;60;451;20;176
450;2;500;60;451;30;176
450;2;500;60;451;40;176
410;2;2;164;285;-120;13
410;2;2;164;285;-110;14
410;2;2;164;285;-100;16
410;2;2;164;285;-90;19
410;2;2;164;285;-80;25
410;2;2;164;285;-70;34
410;2;2;164;285;-60;72
410;2;2;164;285;-50;119
410;2;2;164;285;-40;164
410;2;2;164;285;-30;178
410;2;2;164;285;-20;187
410;2;2;164;285;-10;190
410;2;2;164;285;0;192
410;2;2;164;285;10;192
410;2;2;164;285;20;192
410;2;2;164;285;30;192
410;2;2;164;285;40;192
450;2;7;249;297;-120;2
450;2;7;249;297;-110;2
450;2;7;249;297;-100;2
450;2;7;249;297;-90;2
450;2;7;249;297;-80;7
450;2;7;249;297;-70;20
450;2;7;249;297;-60;38
450;2;7;249;297;-50;67
450;2;7;249;297;-40;106
450;2;7;249;297;-30;146
450;2;7;249;297;-20;164
450;2;7;249;297;-10;176
450;2;7;249;297;0;191
450;2;7;249;297;10;203
450;2;7;249;297;20;215
450;2;7;249;297;30;221
450;2;7;249;297;40;224
400;2;133;243;388;-120;2
400;2;133;243;388;-110;2
400;2;133;243;388;-100;2
400;2;133;243;388;-90;2
400;2;133;243;388;-80;4
400;2;133;243;388;-70;6
400;2;133;243;388;-60;10
400;2;133;243;388;-50;14
400;2;133;243;388;-40;18
400;2;133;243;388;-30;24
400;2;133;243;388;-20;48
400;2;133;243;388;-10;77
400;2;133;243;388;0;117
400;2;133;243;388;10;157
400;2;133;243;388;20;195
400;2;133;243;388;30;198
400;2;133;243;388;40;198
5;2;150;57;476;-120;6
5;2;150;57;476;-110;6
5;2;150;57;476;-100;6
5;2;150;57;476;-90;6
5;2;150;57;476;-80;10
5;2;150;57;476;-70;18
5;2;150;57;476;-60;26
5;2;150;57;476;-50;38
5;2;150;57;476;-40;54
5;2;150;57;476;-30;75
5;2;150;57;476;-20;100
5;2;150;57;476;-10;129
5;2;150;57;476;0;155
5;2;150;57;476;10;177
5;2;150;57;476;20;187
5;2;150;57;476;30;194
5;2;150;57;476;40;198
37;2;5;68;432;-120;14
37;2;5;68;432;-110;19
37;2;5;68;432;-100;29
37;2;5;68;432;-90;41
37;2;5;68;432;-80;67
37;2;5;68;432;-70;110
37;2;5;68;432;-60;138
37;2;5;68;432;-50;152
37;2;5;68;432;-40;162
37;2;5;68;432;-30;170
37;2;5;68;432;-20;176
37;2;5;68;432;-10;182
37;2;5;68;432;0;187
37;2;5;68;432;10;190
37;2;5;68;432;20;194
37;2;5;68;432;30;198
37;2;5;68;432;40;198
39;2;20;66;427;-120;14
39;2;20;66;427;-110;17
39;2;20;66;427;-100;31
39;2;20;66;427;-90;34
39;2;20;66;427;-80;65
39;2;20;66;427;-70;98
39;2;20;66;427;-60;132
39;2;20;66;427;-50;150
39;2;20;66;427;-40;161
39;2;20;66;427;-30;167
39;2;20;66;427;-20;173
39;2;20;66;427;-10;181
39;2;20;66;427;0;187
39;2;20;66;427;10;194
39;2;20;66;427;20;201
39;2;20;66;427;30;203
39;2;20;66;427;40;206
36;2;190;53;422;-120;6
36;2;190;53;422;-110;8
36;2;190;53;422;-100;16
36;2;190;53;422;-90;22
36;2;190;53;422;-80;34
36;2;190;53;422;-70;43
36;2;190;53;422;-60;91
36;2;190;53;422;-50;139
36;2;190;53;422;-40;168
36;2;190;53;422;-30;181
36;2;190;53;422;-20;189
36;2;190;53;422;-10;195
36;2;190;53;422;0;201
36;2;190;53;422;10;205
36;2;190;53;422;20;206
36;2;190;53;422;30;208
36;2;190;53;422;40;208
99;2;8;89;375;-120;6
